1317040011	中山醫學大學附設醫院
EB83467734	翻轉吧科技有限公司
EB83470105	雲象科技股份有限公司
EB83471511	沅誠生活館有限公司
EB83475761	士福美食股份有限公司
EB83476038	兆基屋管股份有限公司嘉義分公司
EB83476537	永沁股份有限公司
EB83477590ULBANKT	連線商業銀行股份有限公司執行命令收文
EB83477590	連線商業銀行股份有限公司
EB83477938U010000	第一化成控股(開曼)股份有限公司
EB83477938	英屬開曼群島商第一化成控股股份有限公司台灣分公司
EB83478710	富邦私募股權股份有限公司
EB83478850	康展國際有限公司
EB83487746	研海生態顧問股份有限公司
EB83488576	億騰營造有限公司
EB83490600	坤業興業有限公司
EB83490735	曜辰國際企業有限公司
EB83491559	質允設計室內裝修有限公司
EB83492585	宏略興業股份有限公司
EB83492918	日新汽車駕駛訓練有限公司
EB83494520	嘉雨思科技股份有限公司
EB83495372	萬勝工程科技股份有限公司
EB83496040	兆基屋管股份有限公司基隆分公司
EB83496415	寶壽能源股份有限公司
EB83496421	寶福能源股份有限公司
EB83496442	寶祿能源股份有限公司
EB83496457	寶財能源股份有限公司
EB83496463	寶禧能源股份有限公司
EB83504978	將來商業銀行股份有限公司
EB83511675	永昕工程顧問有限公司
EB83514413	華城能源股份有限公司
EB83516329	日鼎循環經濟投資控股股份有限公司
EB83516469	三新二奧特萊斯股份有限公司
EB83517278	聯創企業股份有限公司
EB83524572	康北生活館有限公司
EB83524622	傑北生活館有限公司
EB83528388	鈺永堂室內裝修有限公司
EB83529470	中能發電股份有限公司
EB83529788	永溢營造股份有限公司
EB83531335	牧邑顧問有限公司
EB83534213	鈺北生活有限公司
EB83536654	維夫拉克股份有限公司
EB83538421	台灣三井不動產股份有限公司南港分公司
EB83540257	恆水創電股份有限公司
EB83540475	紫麓環境規劃設計有限公司
EB83542895	昕恩科技有限公司
EB83545041	新偉工程技術顧問有限公司
EB83545056	興悅地產開發股份有限公司
EB83546549	任珈數位科技有限公司
EB83548461	南河一號電力股份有限公司
EB83548687	風泰電力股份有限公司
EB83549617	貝和電力股份有限公司
EB83549623	廷捷電力股份有限公司
EB83550389U020000	均德數位科技有限公司
EB83551401	和瑩電腦股份有限公司
EB83555883	鴻博生活館有限公司
EB83556861	橋椿金屬股份有限公司烏日分公司
EB83559641	和宜機電有限公司
EB83561007	捷博股份有限公司
EB83561392	宏碁創達股份有限公司
EB83562603	皇冠大車隊企業股份有限公司桃園分公司
EB83563244	艾科科技股份有限公司
EB83566404	裕益汽車股份有限公司路竹分公司
EB83567826	捷築整合科技股份有限公司
EB83568607	匯鉅能源股份有限公司
EB83569021	台灣數位串流有限公司
EB83570391	龍來球場股份有限公司
EB83570462	揚威營造有限公司
EB83571862	威霖機電有限公司
EB83571928	平方開發股份有限公司
EB83575071	萬康世紀保全股份有限公司
EB83575425	世紀樺欣風能股份有限公司
EB83575797	泓邑技術顧問有限公司
EB83577486	向海那漾股份有限公司
EB83580525	昇典影像製作有限公司
EB83581658	艾傑國際開發股份有限公司
EB83581968	鑫洋海事有限公司
EB83582994	昕樂營造有限公司
EB83584542	木樂股份有限公司
EB83584705	禾銘環境工程顧問有限公司
EB83586653	金玉峰證券投資顧問股份有限公司
EB83587512	寶亞能源股份有限公司
EB83589271	達德資通股份有限公司
EB83598807	玉屏能源股份有限公司
EB83599094	千附精密股份有限公司
EB83602611	萬銓崴工程服務有限公司
EB83606905	青之森工程顧問有限公司
EB83609298	新勝能源開發股份有限公司
EB83613461	上老石國際股份有限公司
EB83614953	尚宸建設開發有限公司
EB83615849	準紘科技股份有限公司
EB83617543	亞泰工程顧問股份有限公司
EB83617570	橄欖墅室內裝修有限公司
EB83619916	無間科技股份有限公司
EB83638478	金永發營造有限公司
EB83639504	興勤電子工業股份有限公司
EB83651794	寶合生活館有限公司
EB83656307	寶椿電力股份有限公司
EB83656550	柏凱營造有限公司
EB83658874	耀獅生物科技防治有限公司
EB83659402	宏毅通運有限公司
EB83677788	天佑工程顧問有限公司
EB83682332	寶島陽光電能股份有限公司
EB83683114	福爾摩沙氣候智慧服務有限公司
EB83685106	辰璟工程技術顧問有限公司
EB83685823	永護健康管理顧問股份有限公司
EB83687293U010000	晨星工程技術顧問有限公司業務部
EB83687293	晨星工程技術顧問有限公司
EB83690683	天鵝堡營造股份有限公司
EB83690733	鑫川營造股份有限公司
EB83696639	恆春電力股份有限公司
EB83698313	擷發科技股份有限公司
EB83698783	荷蘭商歐嘉隆有限公司台灣分公司
EB83699050	樂心數位股份有限公司
EB83700227	沁弦築影照明設計有限公司
EB83700606	立松交通有限公司
EB83705481	弘燿營造有限公司
EB83705601	豪北生活館有限公司
EB83708298	寶亮生活館有限公司
EB83711478	交流資服股份有限公司
EB83718177	時代社群行銷有限公司
EB83721145	開元佳能股份有限公司
EB83721594	高輝營造工程股份有限公司
EB83726795	鏡電視股份有限公司
EB83738151	宸峰電力股份有限公司
EB83739428	鑫世嘉工程有限公司
EB83739671	天昊陽室內裝修實業有限公司
EB83747671	寶樹能源股份有限公司
EB83748073	臺灣派頓化學製藥股份有限公司
EB83756501	名澤營造有限公司
EB83760483	愛邁斯活動整合行銷有限公司
EB83761808	屏方根文化有限公司
EB83763995	極智資訊股份有限公司
EB83765699	埕型創藝有限公司
EB83768871	愛思普資訊顧問有限公司
EB83769718	寶富電力股份有限公司
EB83770481	立康工程顧問有限公司
EB83773656	翔業工程顧問有限公司
EB83774487	艾立斯科技股份有限公司
EB83776056	康宏營造有限公司
EB83778890	睿田能源股份有限公司
EB83779510	逸築軒工程顧問有限公司
EB83779856	昱毅營造股份有限公司
EB83784400	安磊諮詢顧問有限公司
EB83784422	大龍營造有限公司
EB83788757	文武營造有限公司
EB83789593	鈺邦生活館有限公司
EB83791535	承峰國際營造股份有限公司
EB83793506	英屬開曼群島商康而富控股股份有限公司
EB83794245	樂天國際商業銀行股份有限公司
EB83797854	利佺工程技術顧問有限公司
EB83923347	新加坡商兆普有限公司台灣分公司
EB83923347U010000	Advanced　Energy　Solution　Holding　Co.Ltd.
EB83933632	慧泓整合行銷有限公司
EB83985693	群亞工程顧問有限公司
EB84071176	福圓營造股份有限公司
EB84074976	廣豐國際媒體股份有限公司
EB84092284	聖鑫工程顧問有限公司
EB84094369	華豫寧股份有限公司
EB84098822	品嘉營造股份有限公司
EB84101262	永錄自動化股份有限公司
EB84102852	士奇傳播整合行銷股份有限公司
EB84105154	青境工程顧問有限公司
EB84107174	遠來開發股份有限公司
EB84112731	全基企業有限公司
EB84115842	台灣鴻新船業股份有限公司
EB84116878	日電貿股份有限公司
EB84117341	普萊德科技股份有限公司
EB84121957	昊騰科技有限公司
EB84124259	中興工程顧問股份有限公司
EB84126144	東碩資訊股份有限公司
EB84135973	國源汽車股份有限公司台東分公司
EB84138367	樂聖實業股份有限公司
EB84141187	昇陽建設企業股份有限公司
EB84149006	健亞生物科技股份有限公司
EB84149054	揚智科技股份有限公司
EB84149060	智原科技股份有限公司
EB84149168	慶康科技股份有限公司
EB84149224	義隆電子股份有限公司
EB84149245	凱鈺科技股份有限公司
EB84149358	世界先進積體電路股份有限公司
EB84149385	力晶創新投資控股股份有限公司
EB84149408	智捷科技股份有限公司
EB84149462	上詮光纖通信股份有限公司
EB84149499	天鈺科技股份有限公司
EB84149717	聯陽半導體股份有限公司
EB84149723	致新科技股份有限公司
EB84149738	友達光電股份有限公司
EB84149759	聯傑國際股份有限公司
EB84149786	富采光電股份有限公司
EB84149809	茂德科技股份有限公司
EB84149821	來思達國際企業股份有限公司
EB84149884	昇陽國際半導體股份有限公司
EB84149929	同亨科技股份有限公司
EB84149955	聯詠科技股份有限公司
EB84149961	聯發科技股份有限公司
EB84150283	高靖工業有限公司
EB84152965	科誠股份有限公司
EB84155127	華豐營造股份有限公司
EB84156322	環域科技股份有限公司
EB84158665	永川交通工程有限公司
EB84165764	宸都營造有限公司
EB84166074	普安科技股份有限公司
EB84177282	開博科技股份有限公司
EB84178493	磊慶營造股份有限公司
EB84184489	億翔營造股份有限公司
EB84184501	沅展營造股份有限公司
EB84188062	虹堡科技股份有限公司
EB84189219U070000	上益營造股份有限公司高雄第一施工處
EB84189219U040000	上益營造股份有限公司高雄第二施工處
EB84189219U130000	上益營造股份有限公司台中第二施工處
EB84189219U100000	上益營造股份有限公司台南第二施工處
EB84189219U020000	上益營造股份有限公司屏東第二施工處
EB84189219U120000	上益營造股份有限公司高雄第三施工處
EB84189219U110000	上益營造股份有限公司台南第三施工處
EB84189219U010000	上益營造股份有限公司台中第一施工處
EB84189219U030000	上益營造股份有限公司台南第一施工處
EB84189219U000000	上益營造股份有限公司
EB84189219U050000	上益營造股份有限公司屏東第一施工處
EB84189219U090000	上益營造股份有限公司屏東第三施工處
EB84189484	金全國汽車修理廠有限公司
EB84189908	慶騰精密科技股份有限公司
EB84190721	長良加油站股份有限公司
EB84195985U840000	榮技工程顧問有限公司雙十辦公室
EB84195985	榮技工程顧問有限公司
EB84200994	公勝保險經紀人股份有限公司
EB84201543	明欣營造有限公司
EB84204534	羅雅印刷事業有限公司
EB84207315	日富金屬工業有限公司
EB84212470	鵬程建設股份有限公司
EB84214435	新源營造股份有限公司
EB84217502	泰晟發營造股份有限公司
EB84218848	敦陽科技股份有限公司
EB84224665	新曜營造股份有限公司
EB84224665U010000	新曜營造股份有限公司三民工務所
EB84231758	新歐工程有限公司
EB84231835	喬立建設開發股份有限公司
EB84232790	進泰電子科技股份有限公司
EB84234755	九福科技顧問股份有限公司
EB84239055	全漢企業股份有限公司
EB84240476	正和砂石開發工業股份有限公司
EB84241854	松興砂石股份有限公司
EB84243473	新豪營造股份有限公司
EB84252205	嘉翔交通股份有限公司
EB84252401	中宇環保工程股份有限公司
EB84252697	榮剛材料科技股份有限公司
EB84252922	華卡貨櫃通運有限公司
EB84253675	昱通資訊事業股份有限公司
EB84255759	裕益汽車股份有限公司宜蘭分公司
EB84256265	好樂迪股份有限公司
EB84271110	樂揚建設股份有限公司
EB84271478	長佳機電工程股份有限公司
EB84274833	鴻名企業股份有限公司
EB84283164	車容坊股份有限公司
EB84285629	惠隆資訊股份有限公司
EB84289174	榕聲工程顧問有限公司
EB84291241	太乙媒體事業有限公司
EB84291468	宏遠證券投資顧問股份有限公司
EB84293249	正全義肢復健器材股份有限公司
EB84298173	電將科技股份有限公司
EB84299742	聯亞生技開發股份有限公司
EB84302937UGA0000	至鴻科技股份有限公司
EB84307530	東鋼鋼結構股份有限公司
EB84308192	國泰世華商業銀行股份有限公司新竹分公司
EB84308881	雄菱工程股份有限公司
EB84309170	福懋油脂股份有限公司台北分公司
EB84309615	永豐期貨股份有限公司
EB84309734	華新儀錶股份有限公司
EB84310042	統一期貨股份有限公司
EB84311675	國泰世華商業銀行股份有限公司天母分公司
EB84314027	恆久資訊有限公司
EB84315264	麒燿營造有限公司
EB84322883	大力營造有限公司
EB84325761	百家工程股份有限公司
EB84329345	協翔營造工程股份有限公司
EB84334972	三詠工程顧問有限公司
EB84339006	裕山環境工程股份有限公司
EB84340138	大域工程顧問有限公司
EB84341994	斐成開發科技股份有限公司
EB84350917	台盟電信工程有限公司
EB84354060	哲固資訊科技股份有限公司
EB84355146	桓基科技股份有限公司
EB84355650	利機企業股份有限公司
EB84355899	弘塑科技股份有限公司
EB84357974	文元營造有限公司
EB84358798	崧鵬營造工程股份有限公司
EB84362651	松恒股份有限公司
EB84363906	松弘營造有限公司
EB84364840	聿誠營造股份有限公司
EB84383473	建宇營造股份有限公司
EB84389286	泰欣營造股份有限公司
EB84389770	十億營造股份有限公司
EB84390306	日立營造股份有限公司
EB84395082	華邦工程顧問有限公司
EB84400698	台球營造工程有限公司
EB84402252	光正汽車股份有限公司
EB84404110	群旺景觀股份有限公司
EB84409353	久田營造有限公司
EB84412218	鴻順營造有限公司
EB84412250	鈦金營造股份有限公司
EB84415355	能率網通股份有限公司
EB84416946	允誠營造有限公司
EB84417537	泰創工程股份有限公司
EB84433564	建通精密工業股份有限公司
EB84433706	全濠科技股份有限公司
EB84435578	新天地國際實業股份有限公司
EB84443471	三商美邦人壽保險股份有限公司
EB84443471U901311	三商美邦人壽保險股份有限公司執行命令收文
EB84445772	國泰世紀產物保險股份有限公司
EB84447700	新加坡商新加坡科技電子有限公司台灣分公司
EB84448948	益鵬交通有限公司
EB84450943	麥寮工業區專用港管理股份有限公司
EB84453385	華義國際數位娛樂股份有限公司
EB84457707	富華利有限公司
EB84459043	程曦資訊整合股份有限公司
EB84460055	中國開發資產管理股份有限公司
EB84464186	萬寶證券投資顧問股份有限公司
EB84465158	甲尚股份有限公司
EB84466749	三發地產股份有限公司
EB84468893	華南證券投資顧問股份有限公司
EB84469443	磐儀科技股份有限公司
EB84473208	台灣歐鍀空調股份有限公司
EB84482229	展群機械股份有限公司
EB84482760	陸航科技工程顧問有限公司
EB84492351	泰霖事業股份有限公司
EB84497335	百徽股份有限公司
EB84498860	文曄科技股份有限公司
EB84499586	義聯電資訊股份有限公司
EB84501014	三品科技股份有限公司
EB84505150	昱威資訊有限公司
EB84507137	瑋林營造有限公司
EB84508261	佳能工程有限公司
EB84511771	陸府建設股份有限公司
EB84516369	中業營造股份有限公司
EB84517297	泓格科技股份有限公司
EB84518394	芫儂實業有限公司
EB84526079	大園汽電共生股份有限公司
EB84526676	南台灣環境科技股份有限公司
EB84531755	新雄營造股份有限公司
EB84531761	日瑞豐營造有限公司
EB84544772	佳興營造股份有限公司
EB84546589	喜業營造有限公司
EB84548046	久舜營造股份有限公司
EB84551581	喜特麗國際股份有限公司
EB84559438	克林營造股份有限公司
EB84564782	鉅鎮企業有限公司
EB84566326	德鍵企業有限公司
EB84566661	金協昌科技股份有限公司
EB84568387	瑋騰資訊股份有限公司
EB84573516	僑威科技股份有限公司
EB84578483	弘強工程顧問企業有限公司
EB84580642	和記行汽車有限公司
EB84585338	有福土木包工業有限公司
EB84596757	安鼎國際工程股份有限公司
EB84598349	一零四資訊科技股份有限公司
EB84600957	有祥汽車有限公司
EB84607396	立敦科技股份有限公司
EB84607614	志誠營造股份有限公司
EB84611167	家祥營造有限公司
EB84612861	旺誠營造有限公司
EB84613756	中龍鋼鐵股份有限公司
EB84622571	富合誼汽車企業有限公司
EB84623044	尚志營造有限公司
EB84625084	台昕營造有限公司
EB84630087	巨虹電子股份有限公司
EB84630426	王品餐飲股份有限公司
EB84636532	鄉信股份有限公司
EB84637032	勁竹營造股份有限公司
EB84637687	皇程營造有限公司
EB84651174	開鎰水電有限公司
EB84651364	欣隆營造有限公司
EB84659035	上亞科技股份有限公司
EB84661004	皆豪實業股份有限公司
EB84661068	福崧實業股份有限公司
EB84663066	頤達營造股份有限公司
EB84671729	國成物業管理股份有限公司
EB84687150	友力機電工程股份有限公司
EB84689002	發揚汽車股份有限公司
EB84693104	陶林數值測量工程有限公司
EB84693337	永利環保工程企業有限公司
EB84703052	遠雄人壽保險事業股份有限公司
EB84703264	國票期貨股份有限公司
EB84703335	強新工業股份有限公司
EB84703412	新光證券股份有限公司
EB84703412U856001	新光證券投資顧問股份有限公司
EB84703412U856002	新光財產保險代理人股份有限公司
EB84703412U856003	新光保險代理人股份有限公司
EB84703601	台北外滙經紀股份有限公司
EB84704496	凱基期貨股份有限公司
EB84705087	名城事業股份有限公司
EB84705349	國泰期貨股份有限公司
EB84705426	欣芝實業股份有限公司
EB84706059	世界聯合通運有限公司
EB84706683	德安航空股份有限公司
EB84707677	成洲通運事業股份有限公司
EB84708177	美商愛德盟期貨經紀股份有限公司台灣分公司
EB84708535	臺翔交通有限公司
EB84710096	益昌交通有限公司
EB84710737	世豪通運有限公司
EB84713360	台宇環境科技股份有限公司
EB84716057	乙男營造有限公司
EB84716330	晉德營造有限公司
EB84717577	琮陽實業有限公司
EB84719688	國升營造工程股份有限公司
EB84722277	建利環保顧問股份有限公司
EB84723888	尚運實業有限公司
EB84731769	國華營造工程有限公司
EB84737709	友為實業股份有限公司
EB84738019	益陞營造有限公司
EB84750569	凱鉅科技實業股份有限公司
EB84751639	安葆國際實業股份有限公司
EB84752200	崇越電通股份有限公司
EB84754072	雙鍵化工股份有限公司
EB84763038	年豐企業有限公司
EB84766324	艾昆緯股份有限公司
EB84766393U010000	慧群環境科技股份有限公司台北辦公室
EB84767175	琉園股份有限公司
EB84768316	信品工程有限公司
EB84778623	華電聯網股份有限公司
EB84783772	商丞科技股份有限公司
EB84785413	鈺德科技股份有限公司
EB84786927	中欣實業股份有限公司
EB84790372	兆弘機電股份有限公司
EB84793461	旭邦營造股份有限公司
EB84793841	向陽營造工程有限公司
EB84795469	允久營造工程股份有限公司
EB84796050	泰普營造有限公司
EB84800575	忠進營造有限公司
EB84802476	廣京營造有限公司
EB84808226	成岩營造股份有限公司
EB84808400	邑昇實業股份有限公司
EB84808725	益志股份有限公司
EB84809230	鼎旺營造股份有限公司
EB84815319	新慶陽營造股份有限公司
EB84815612	傳亞營造有限公司
EB84819223	倉和股份有限公司
EB84823991	北翰營造有限公司
EB84828692	甫邑企業有限公司
EB84832008	隆豪營造有限公司
EB84832324	治鼎科技營造股份有限公司
EB84842478	元大工程顧問有限公司
EB84844004	宏成營造股份有限公司
EB84845432	國新營造股份有限公司
EB84846066	長盛科技股份有限公司
EB84862446	登亞營造股份有限公司
EB84862683	佳昇營造有限公司
EB84869497	松青營造有限公司
EB84874864	仕佳興業有限公司
EB84875060	鋐嶪營造有限公司
EB84875168	友臣營造有限公司
EB84875548	嘉麟營造有限公司
EB84883998	世鷹工程有限公司
EB84884510	聚和豐營造股份有限公司
EB84888311	鼎鋒營造有限公司
EB84888781	汎錏營造股份有限公司
EB84892292	華南期貨股份有限公司
EB84894313	宏泰人壽保險股份有限公司
EB84897037	日商岩田地崎營造股份有限公司台灣分公司
EB84897156	順益汽車股份有限公司
EB84898578	裕益汽車股份有限公司苗栗分公司
EB84899128	亞太投資股份有限公司
EB84900878	業強科技股份有限公司
EB84900928	悠活渡假事業股份有限公司
EB84900976	藍摩半導體股份有限公司
EB84901089	能率創新股份有限公司
EB84914021	宥閎營造工程有限公司
EB84916739	故鄉市場調查股份有限公司
EB84918531	太登國際整合行銷有限公司
EB84926791	大學光學科技股份有限公司
EB84927314	境利工程顧問有限公司
EB84929896	瑞軒科技股份有限公司
EB84938207	昱臺國際股份有限公司
EB84950763	磐峰營造有限公司
EB84950790	亞東保全股份有限公司
EB84952919	通益交通工程器材有限公司
EB84953902	鴻業營造有限公司
EB84954347	全國廣播股份有限公司
EB84955325	合眾營造有限公司
EB84956416	新翊菖營造股份有限公司
EB84960039	瑞通營造有限公司
EB84962769	中台營造股份有限公司
EB84965983	上溢營造股份有限公司
EB84966929	珉聖營造有限公司
EB84966977	東盟營造股份有限公司
EB84968742	華門工程顧問股份有限公司
EB84980915	巧新科技工業股份有限公司
EB84981323	晉泰科技股份有限公司
EB84986869	益盈交通有限公司
EB84993448	祐霖營造有限公司
EB84995500	敘豐企業股份有限公司
EB84999365	新永安有線電視股份有限公司
EB85002520	智晟資訊服務股份有限公司
EB85004174	大立高分子工業股份有限公司
EB85007074	嘉時航運股份有限公司
EB85009024	視航生物醫學股份有限公司
EB85012739	蜂巢行銷顧問有限公司
EB85012935	翊騰營造有限公司
EB85014005	飛聖航空股份有限公司
EB85017777	現觀科技股份有限公司
EB85018017	貳肆策劃有限公司
EB85021012	隆澔工程顧問有限公司
EB85021076	東孟國際工程股份有限公司
EB85022455	景春盈企業有限公司
EB85024073	鑫訓工程顧問股份有限公司
EB85026380	大本林有限公司
EB85026810	橙石策略整合行銷有限公司
EB85027705	蕎羽包包資訊有限公司
EB85030954	永大環工有限公司
EB85031237	成信實業股份有限公司
EB85038225	聚大工程顧問有限公司
EB85039738	精璽創新整合行銷有限公司
EB85039759	誠立營造股份有限公司
EB85041116	豫青設計有限公司
EB85044789	台普威能源股份有限公司
EB85045112	立欣汽車檢驗有限公司
EB85045274	浦惠證券投資顧問股份有限公司
EB85045859	兆基屋管股份有限公司竹縣分公司
EB85047370	上承技術顧問有限公司
EB85047532	零點科技股份有限公司
EB85050058	詠翊設計有限公司
EB85050281	炫崑營造有限公司
EB85050472	臺灣希望創新股份有限公司
EB85050727	鴻春五號能源股份有限公司
EB85050894	鴻縣五號能源股份有限公司
EB85051710	源點科技股份有限公司
EB85052788	慧光文教股份有限公司
EB85053870	建福石油股份有限公司
EB85054287	上晟不動產仲介有限公司台南分公司
EB85055808	久祐工程有限公司
EB85056709	宬泰工程有限公司
EB85057051	碩明綠能股份有限公司
EB85061652	侑信營造有限公司
EB85061999	乾瞻科技股份有限公司
EB85064428	凱富營造有限公司
EB85064757	渝翔生活館有限公司
EB85064996	合聖科技股份有限公司
EB85066002	永豐餘投資控股股份有限公司
EB85068732	兆基屋管股份有限公司屏東分公司
EB85068748	兆基屋管股份有限公司台南分公司
EB85071461	宏燁營造有限公司
EB85073756	立喆開發股份有限公司
EB85076418	晨威工程顧問有限公司
EB85078350	鴻恩生活館有限公司
EB85080882	啟宇工程顧問股份有限公司
EB85081664	上善家園有限公司
EB85083585	河畔果管理顧問有限公司
EB85086859	天良生物科技企業股份有限公司
EB85088884	屏軒生活館有限公司
EB85090805	渝鈞生活館有限公司
EB85092114	來穎科技股份有限公司
EB85092825	豪易工程有限公司
EB85097309	鴻良電腦有限公司
EB85097820	薩摩亞商鈞興傳動有限公司台灣分公司
EB85097820U010000	鈞興機電國際股份有限公司
EB85097878U010000	綠岩能源股份有限公司稽核處
EB85098996	東緯工程顧問有限公司
EB85103034U010000	星鴻股份有限公司新北辦事處
EB85103034U020000	星鴻股份有限公司桃園辦事處
EB85103034U070000	星鴻股份有限公司南投辦事處
EB85103034U050000	星鴻股份有限公司高雄辦事處
EB85103034U060000	星鴻股份有限公司彰化辦事處
EB85103034U040000	星鴻股份有限公司台南辦事處
EB85103034U030000	星鴻股份有限公司台中辦事處
EB85103695	鈞皇建設開發有限公司
EB85105933	禹晨開發股份有限公司
EB85106412	原鄉營造有限公司
EB85107974	有成物業管理顧問有限公司
EB85108919	福爾摩沙工程顧問有限公司
EB85109641	光合森林股份有限公司
EB85111436	點點全球股份有限公司
EB85111724	巔峰海景投資股份有限公司
EB85112890	金展數據科學股份有限公司
EB85113286	四湖汽車有限公司
EB85113482	丞信工程顧問有限公司
EB85114623	維遠資訊股份有限公司
EB85114659	戽金交通有限公司
EB85117044	精睿醫藥科技股份有限公司
EB85119681	嘉碩工程有限公司
EB85120765	精華生醫股份有限公司
EB85121027	漢程汽車客運股份有限公司台南分公司
EB85122139	寶宥生活館有限公司
EB85122291	志東益營造股份有限公司
EB85128990	商智雲股份有限公司
EB85131192	摩爾證券投資顧問股份有限公司
EB85234248	聿翔國際體能顧問社
EB85248708	高雄汽車客運股份有限公司
EB85290085	復華機械股份有限公司
EB85330636	瑞利企業股份有限公司
EB85341649	良田健康照護社附設新北市私立良田健康照護居家長照機構
EB85601551	嘉源民宿
EB85610030	美西製藥有限公司
EB85611896	松和工業股份有限公司
EB85617982	興泰實業股份有限公司
EB85620635	臺灣航勤股份有限公司高雄分公司
EB85623957	日商鹿島營造股份有限公司台灣分公司
EB85634075	鉅明股份有限公司
EB85671438	鈺宬營造工程有限公司
EB85671438U010000	鈺宬營造工程有限公司秀北工務所
EB85695234	建誌營造股份有限公司
EB85721346	春日機械工業股份有限公司
EB85752425	東亞鑄造股份有限公司
EB85778902	振勝營造有限公司
EB85798246	瑉興汽車修配企業有限公司
EB85798816	東哥企業股份有限公司
EB85800192	中國鋼鐵結構股份有限公司
EB85804633	寶象建設股份有限公司
EB85806436	友情汽車修配有限公司
EB85829515	助成水電企業有限公司
EB85841102	申豐特用應材股份有限公司
EB85848180	市豐營造有限公司
EB85856511	一功營造股份有限公司
EB85892495U030000	瑞鋒營造股份有限公司里美工務所
EB85892495U010000	瑞鋒營造股份有限公司南科工務所
EB85892495U020000	瑞鋒營造股份有限公司后里工務所
EB85892495	瑞鋒營造股份有限公司玉井工務所
EB85893781	光順營造股份有限公司
EB85898033	隆大營建事業股份有限公司
EB85974475	國城建設股份有限公司
EB85975087	聯鋼營造工程股份有限公司
EB86000036	是方電訊股份有限公司
EB86001464	榮群電訊股份有限公司
EB86006242	台灣捷騰電子電信股份有限公司
EB86009297	幸康電子股份有限公司
EB86010365	振大環球股份有限公司
EB86011408	穩合實業股份有限公司
EB86023869	東達工程顧問有限公司
EB86027892	全科科技股份有限公司
EB86033727	翰昇環境科技股份有限公司
EB86053808	新宏興營造股份有限公司
EB86054807	召明營造工程股份有限公司
EB86056087	一功建設實業股份有限公司
EB86059612	大綜電腦系統股份有限公司
EB86067444	瑞昶科技股份有限公司
EB86068942	勝勤實業股份有限公司
EB86069506	古都營造有限公司
EB86074640	先鋒園藝有限公司
EB86075155	暐特股份有限公司
EB86075985	盈舜營造股份有限公司
EB86078580	達航科技股份有限公司
EB86080468	吉宏興業有限公司
EB86083681	翔益營造有限公司
EB86088980	川順營造股份有限公司
EB86091508	東昇營造建設股份有限公司
EB86097236	展鑫工程股份有限公司
EB86098967	泰誠發展營造股份有限公司
EB86105242	雲嘉南科技股份有限公司
EB86105539	海德威電子工業股份有限公司
EB86105720	美星汽車股份有限公司
EB86110863	永耀營造有限公司
EB86119885	邰莫電機股份有限公司
EB86119908	中聯資源股份有限公司
EB86120031U010000	信昌化學工業股份有限公司總務部
EB86120476	江陵建設股份有限公司
EB86120855	瑞士商瑞士銀行股份有限公司台北分公司
EB86121030	遠雄自貿港投資控股股份有限公司
EB86121480	東森電視事業股份有限公司
EB86121783	尚宥通運股份有限公司
EB86122164	富強鑫精密工業股份有限公司
EB86122299	荷蘭商安智銀行股份有限公司台北分公司
EB86123874	永捷創新科技股份有限公司
EB86124395	越峰電子材料股份有限公司
EB86124493	皇家國際美食股份有限公司
EB86136982	三竹資訊股份有限公司
EB86140894	森寶開發股份有限公司
EB86143822	立萬利創新股份有限公司
EB86151049U050000	建業工程顧問有限公司花蓮秀林監造工務所
EB86151049	建業工程顧問有限公司
EB86151049U030000	建業工程顧問有限公司新竹工務所
EB86151049U020000	建業工程顧問有限公司台66監造工程處
EB86151049U040000	建業工程顧問有限公司苗栗工務所
EB86151049U010000	建業工程顧問有限公司基隆工務所
EB86157450	彩富電子股份有限公司
EB86158943	振興發科技有限公司
EB86169913	巨有科技股份有限公司
EB86194075	興鼎營造股份有限公司
EB86195222	百德機械股份有限公司
EB86199677	威信工程顧問股份有限公司
EB86211356	建興營造股份有限公司
EB86213896	弓銓企業股份有限公司
EB86214163	成邑工程顧問有限公司
EB86223629	東鋼營造工程股份有限公司
EB86230558	彰億營造工程有限公司
EB86231162	擎雲科技企業股份有限公司
EB86233176	昇益開發股份有限公司
EB86241176	恒富營造有限公司
EB86244265	精元電腦股份有限公司
EB86245573	欣欣環保工程股份有限公司
EB86249748	甲圓營造有限公司
EB86251390U010000	億東營造股份有限公司瑞穗工務所
EB86251390	億東營造股份有限公司
EB86253783	展翊營造有限公司
EB86253833	坤眾科技股份有限公司
EB86253876	寶慶文化科技股份有限公司
EB86258561	大茂汽車股份有限公司
EB86260601	定誠營造股份有限公司
EB86263092	晟田科技工業股份有限公司
EB86263179	大佳營造工程有限公司
EB86266540	國晟工業股份有限公司
EB86268929	安鼎工程顧問有限公司
EB86269384	白天鵝建設股份有限公司
EB86277096	普飛汽車股份有限公司
EB86281280	力勤倉儲設備股份有限公司
EB86283251	金煇企業股份有限公司
EB86284701	法源資訊股份有限公司
EB86287778	蒙恬科技股份有限公司
EB86293791	日亞電機股份有限公司
EB86298705	天方能源科技股份有限公司
EB86306655	潤德室內裝修設計工程股份有限公司
EB86315535	驊訊電子企業股份有限公司
EB86318408	鴻碩精密電工股份有限公司
EB86340534	興玉輝營造股份有限公司
EB86350650	勝緯營造股份有限公司
EB86353158	羿能營造工程有限公司
